Label,Frame Index,Time Stamp,Confidence
bird,1006,33.53,0.75
bird,1007,33.57,0.76
bird,1008,33.60,0.78
bird,1009,33.63,0.73
bird,1010,33.67,0.76
bird,1011,33.70,0.74
bird,1012,33.73,0.77
bird,1013,33.77,0.77
bird,1014,33.80,0.75
bird,1015,33.83,0.74
bird,1016,33.87,0.73
bird,1017,33.90,0.73
bird,1018,33.93,0.75
bird,1019,33.97,0.73
bird,1020,34.00,0.75
bird,1496,49.87,0.27
bird,1497,49.90,0.27
bird,1498,49.93,0.28
bird,1500,50.00,0.33
bird,1501,50.03,0.33
bird,1502,50.07,0.34
bird,1503,50.10,0.34
bird,1504,50.13,0.31
bird,1505,50.17,0.30
bird,1506,50.20,0.31
bird,1507,50.23,0.32
bird,1508,50.27,0.30
bird,1509,50.30,0.31
bird,1510,50.33,0.31
bird,1511,50.37,0.33
bird,1512,50.40,0.31
bird,1513,50.43,0.32
bird,1514,50.47,0.30
bird,1515,50.50,0.30
bird,1516,50.53,0.31
bird,1517,50.57,0.34
bird,1518,50.60,0.34
bird,1519,50.63,0.33
bird,1520,50.67,0.33
bird,1521,50.70,0.34
bird,1522,50.73,0.34
bird,1523,50.77,0.33
bird,1524,50.80,0.40
bird,1525,50.83,0.42
bird,1526,50.87,0.41
bird,1527,50.90,0.42
bird,1528,50.93,0.46
bird,1529,50.97,0.45
bird,1530,51.00,0.47
bird,1531,51.03,0.49
bird,1532,51.07,0.50
bird,1533,51.10,0.50
bird,1534,51.13,0.48
bird,1535,51.17,0.43
bird,1536,51.20,0.39
bird,1537,51.23,0.44
bird,1538,51.27,0.44
bird,1539,51.30,0.42
bird,1540,51.33,0.39
bird,1541,51.37,0.37
bird,1542,51.40,0.38
bird,1543,51.43,0.35
bird,1544,51.47,0.36
bird,1545,51.50,0.34
bird,1546,51.53,0.29
bird,1547,51.57,0.29
bird,1548,51.60,0.30
bird,1549,51.63,0.30
bird,1550,51.67,0.28
bird,1551,51.70,0.28
bird,1552,51.73,0.26
bird,1553,51.77,0.28
bird,1554,51.80,0.30
bird,1555,51.83,0.29
bird,1560,52.00,0.28
bird,1561,52.03,0.25
bird,1573,52.43,0.36
bird,1576,52.53,0.28
bird,1579,52.63,0.28
bird,1580,52.67,0.28
bird,1581,52.70,0.28
bird,1582,52.73,0.27
bird,1629,54.30,0.25
bird,1632,54.40,0.26
bird,1633,54.43,0.27
bird,1634,54.47,0.26
bird,1635,54.50,0.25
bird,1636,54.53,0.26
bird,1638,54.60,0.26
bird,1639,54.63,0.26
bird,1640,54.67,0.29
bird,1641,54.70,0.28
bird,1642,54.73,0.28
bird,1643,54.77,0.27
bird,1644,54.80,0.28
bird,1645,54.83,0.27
bird,1646,54.87,0.27
bird,1647,54.90,0.27
bird,1648,54.93,0.25
bird,1649,54.97,0.25
bird,1650,55.00,0.30
bird,1651,55.03,0.30
bird,1652,55.07,0.31
bird,1653,55.10,0.31
bird,1654,55.13,0.32
bird,1655,55.17,0.31
bird,1656,55.20,0.32
bird,1657,55.23,0.31
bird,1658,55.27,0.31
bird,1659,55.30,0.32
bird,1660,55.33,0.32
bird,1661,55.37,0.31
bird,1662,55.40,0.31
bird,1663,55.43,0.31
bird,1664,55.47,0.30
bird,1665,55.50,0.30
bird,1666,55.53,0.31
bird,1667,55.57,0.30
bird,1668,55.60,0.31
bird,1669,55.63,0.30
bird,1670,55.67,0.30
bird,1671,55.70,0.30
bird,1672,55.73,0.31
bird,1673,55.77,0.31
bird,1674,55.80,0.31
bird,1675,55.83,0.31
bird,1676,55.87,0.31
bird,1677,55.90,0.31
bird,1678,55.93,0.31
bird,1679,55.97,0.31
bird,1680,56.00,0.31
bird,1681,56.03,0.31
bird,1682,56.07,0.31
bird,1683,56.10,0.31
bird,1684,56.13,0.32
bird,1685,56.17,0.32
bird,1686,56.20,0.32
bird,1687,56.23,0.32
bird,1688,56.27,0.33
bird,1689,56.30,0.32
bird,1690,56.33,0.32
bird,1691,56.37,0.34
bird,1692,56.40,0.34
bird,1693,56.43,0.34
bird,1694,56.47,0.34
bird,1695,56.50,0.34
bird,1696,56.53,0.34
bird,1697,56.57,0.33
bird,1698,56.60,0.34
bird,1699,56.63,0.33
bird,1700,56.67,0.33
bird,1701,56.70,0.33
bird,1702,56.73,0.33
bird,1703,56.77,0.33
bird,1704,56.80,0.33
bird,1705,56.83,0.33
bird,1706,56.87,0.33
bird,1707,56.90,0.32
bird,1708,56.93,0.33
bird,1709,56.97,0.33
bird,1710,57.00,0.33
bird,1711,57.03,0.33
bird,1712,57.07,0.33
bird,1713,57.10,0.33
bird,1714,57.13,0.33
bird,1715,57.17,0.33
bird,1716,57.20,0.34
bird,1717,57.23,0.33
bird,1718,57.27,0.32
bird,1719,57.30,0.32
bird,1720,57.33,0.49
bird,1721,57.37,0.49
bird,1722,57.40,0.41
bird,1723,57.43,0.50
bird,1724,57.47,0.42
bird,1725,57.50,0.49
bird,1726,57.53,0.41
bird,1727,57.57,0.40
bird,1728,57.60,0.34
bird,1729,57.63,0.34
bird,1730,57.67,0.31
bird,1732,57.73,0.29
bird,1733,57.77,0.28
bird,1734,57.80,0.35
bird,1735,57.83,0.29
bird,1736,57.87,0.30
bird,1737,57.90,0.28
bird,1738,57.93,0.35
bird,1739,57.97,0.37
bird,1740,58.00,0.40
bird,1741,58.03,0.36
bird,1742,58.07,0.34
bird,1743,58.10,0.36
bird,1744,58.13,0.40
